Date,US MIR % (6mo),EU MIR %
01/01/2018,ND,0
01/02/2018,1.61,0
01/03/2018,1.59,0
01/04/2018,1.60,0
01/05/2018,1.58,0
01/08/2018,1.60,0
01/09/2018,1.60,0
01/10/2018,1.59,0
01/11/2018,1.58,0
01/12/2018,1.59,0
01/15/2018,ND,0
01/16/2018,1.63,0
01/17/2018,1.63,0
01/18/2018,1.63,0
01/19/2018,1.62,0
01/22/2018,1.65,0
01/23/2018,1.63,0
01/24/2018,1.63,0
01/25/2018,1.64,0
01/26/2018,1.64,0
01/29/2018,1.66,0
01/30/2018,1.66,0
01/31/2018,1.66,0
02/01/2018,1.64,0
02/02/2018,1.65,0
02/05/2018,1.67,0
02/06/2018,1.69,0
02/07/2018,1.73,0
02/08/2018,1.73,0
02/09/2018,1.73,0
02/12/2018,1.82,0
02/13/2018,1.80,0
02/14/2018,1.81,0
02/15/2018,1.82,0
02/16/2018,1.83,0
02/19/2018,ND,0
02/20/2018,1.87,0
02/21/2018,1.85,0
02/22/2018,1.84,0
02/23/2018,1.85,0
02/26/2018,1.87,0
02/27/2018,1.87,0
02/28/2018,1.86,0
03/01/2018,1.85,0
03/02/2018,1.86,0
03/05/2018,1.86,0
03/06/2018,1.87,0
03/07/2018,1.87,0
03/08/2018,1.89,0
03/09/2018,1.89,0
03/12/2018,1.89,0
03/13/2018,1.90,0
03/14/2018,1.94,0
03/15/2018,1.95,0
03/16/2018,1.96,0
03/19/2018,1.99,0
03/20/2018,1.97,0
03/21/2018,1.95,0
03/22/2018,1.95,0
03/23/2018,1.92,0
03/26/2018,1.94,0
03/27/2018,1.93,0
03/28/2018,1.95,0
03/29/2018,1.93,0
03/30/2018,ND,0
04/02/2018,1.92,0
04/03/2018,1.92,0
04/04/2018,1.90,0
04/05/2018,1.93,0
04/06/2018,1.91,0
04/09/2018,1.93,0
04/10/2018,1.93,0
04/11/2018,1.95,0
04/12/2018,1.95,0
04/13/2018,1.97,0
04/16/2018,1.98,0
04/17/2018,2.02,0
04/18/2018,2.01,0
04/19/2018,2.01,0
04/20/2018,2.01,0
04/23/2018,2.04,0
04/24/2018,2.05,0
04/25/2018,2.03,0
04/26/2018,2.02,0
04/27/2018,2.02,0
04/30/2018,2.04,0
05/01/2018,2.05,0
05/02/2018,2.03,0
05/03/2018,2.02,0
05/04/2018,2.03,0
05/07/2018,2.05,0
05/08/2018,2.05,0
05/09/2018,2.05,0
05/10/2018,2.05,0
05/11/2018,2.06,0
05/14/2018,2.09,0
05/15/2018,2.09,0
05/16/2018,2.09,0
05/17/2018,2.10,0
05/18/2018,2.09,0
05/21/2018,2.14,0
05/22/2018,2.13,0
05/23/2018,2.11,0
05/24/2018,2.09,0
05/25/2018,2.07,0
05/28/2018,ND,0
05/29/2018,2.06,0
05/30/2018,2.08,0
05/31/2018,2.08,0
06/01/2018,2.10,0
06/04/2018,2.13,0
06/05/2018,2.13,0
06/06/2018,2.13,0
06/07/2018,2.12,0
06/08/2018,2.12,0
06/11/2018,2.11,0
06/12/2018,2.10,0
06/13/2018,2.09,0
06/14/2018,2.07,0
06/15/2018,2.07,0
06/18/2018,2.13,0
06/19/2018,2.13,0
06/20/2018,2.14,0
06/21/2018,2.12,0
06/22/2018,2.11,0
06/25/2018,2.13,0
06/26/2018,2.14,0
06/27/2018,2.10,0
06/28/2018,2.11,0
06/29/2018,2.11,0
07/02/2018,2.14,0
07/03/2018,2.12,0
07/04/2018,ND,0
07/05/2018,2.11,0
07/06/2018,2.13,0
07/09/2018,2.15,0
07/10/2018,2.15,0
07/11/2018,2.14,0
07/12/2018,2.17,0
07/13/2018,2.16,0
07/16/2018,2.19,0
07/17/2018,2.19,0
07/18/2018,2.17,0
07/19/2018,2.16,0
07/20/2018,2.16,0
07/23/2018,2.19,0
07/24/2018,2.19,0
07/25/2018,2.20,0
07/26/2018,2.19,0
07/27/2018,2.20,0
07/30/2018,2.21,0
07/31/2018,2.21,0
08/01/2018,2.22,0
08/02/2018,2.22,0
08/03/2018,2.23,0
08/06/2018,2.23,0
08/07/2018,2.23,0
08/08/2018,2.24,0
08/09/2018,2.25,0
08/10/2018,2.23,0
08/13/2018,2.22,0
08/14/2018,2.25,0
08/15/2018,2.23,0
08/16/2018,2.24,0
08/17/2018,2.24,0
08/20/2018,2.25,0
08/21/2018,2.25,0
08/22/2018,2.24,0
08/23/2018,2.23,0
08/24/2018,2.25,0
08/27/2018,2.25,0
08/28/2018,2.28,0
08/29/2018,2.28,0
08/30/2018,2.28,0
08/31/2018,2.28,0
09/03/2018,ND,0
09/04/2018,2.29,0
09/05/2018,2.30,0
09/06/2018,2.30,0
09/07/2018,2.30,0
09/10/2018,2.32,0
09/11/2018,2.31,0
09/12/2018,2.33,0
09/13/2018,2.33,0
09/14/2018,2.33,0
09/17/2018,2.35,0
09/18/2018,2.36,0
09/19/2018,2.36,0
09/20/2018,2.37,0
09/21/2018,2.38,0
09/24/2018,2.38,0
09/25/2018,2.38,0
09/26/2018,2.37,0
09/27/2018,2.37,0
09/28/2018,2.36,0
10/01/2018,2.40,0
10/02/2018,2.41,0
10/03/2018,2.41,0
10/04/2018,2.42,0
10/05/2018,2.41,0
10/08/2018,ND,0
10/09/2018,2.46,0
10/10/2018,2.45,0
10/11/2018,2.44,0
10/12/2018,2.44,0
10/15/2018,2.47,0
10/16/2018,2.46,0
10/17/2018,2.47,0
10/18/2018,2.47,0
10/19/2018,2.48,0
10/22/2018,2.49,0
10/23/2018,2.48,0
10/24/2018,2.47,0
10/25/2018,2.47,0
10/26/2018,2.47,0
10/29/2018,2.49,0
10/30/2018,2.48,0
10/31/2018,2.49,0
11/01/2018,2.49,0
11/02/2018,2.50,0
11/05/2018,2.51,0
11/06/2018,2.52,0
11/07/2018,2.51,0
11/08/2018,2.52,0
11/09/2018,2.52,0
11/12/2018,ND,0
11/13/2018,2.53,0
11/14/2018,2.52,0
11/15/2018,2.51,0
11/16/2018,2.50,0
11/19/2018,2.52,0
11/20/2018,2.51,0
11/21/2018,2.52,0
11/22/2018,ND,0
11/23/2018,2.52,0
11/26/2018,2.54,0
11/27/2018,2.53,0
11/28/2018,2.53,0
11/29/2018,2.52,0
11/30/2018,2.52,0
12/03/2018,2.56,0
12/04/2018,2.58,0
12/05/2018,ND,0
12/06/2018,2.56,0
12/07/2018,2.54,0
12/10/2018,2.54,0
12/11/2018,2.55,0
12/12/2018,2.56,0
12/13/2018,2.56,0
12/14/2018,2.56,0
12/17/2018,2.54,0
12/18/2018,2.53,0
12/19/2018,2.54,0
12/20/2018,2.55,0
12/21/2018,2.54,0
12/24/2018,2.52,0
12/25/2018,ND,0
12/26/2018,2.54,0
12/27/2018,2.49,0
12/28/2018,2.48,0
12/31/2018,2.56,0
01/01/2019,ND,0
01/02/2019,2.51,0
01/03/2019,2.47,0
01/04/2019,2.51,0
01/07/2019,2.54,0
01/08/2019,2.54,0
01/09/2019,2.52,0
01/10/2019,2.51,0
01/11/2019,2.50,0
01/14/2019,2.52,0
01/15/2019,2.52,0
01/16/2019,2.49,0
01/17/2019,2.50,0
01/18/2019,2.50,0
01/21/2019,ND,0
01/22/2019,2.51,0
01/23/2019,2.51,0
01/24/2019,2.50,0
01/25/2019,2.51,0
01/28/2019,2.51,0
01/29/2019,2.51,0
01/30/2019,2.50,0
01/31/2019,2.46,0
02/01/2019,2.46,0
02/04/2019,2.49,0
02/05/2019,2.50,0
02/06/2019,2.50,0
02/07/2019,2.49,0
02/08/2019,2.49,0
02/11/2019,2.51,0
02/12/2019,2.50,0
02/13/2019,2.51,0
02/14/2019,2.51,0
02/15/2019,2.50,0
02/18/2019,ND,0
02/19/2019,2.52,0
02/20/2019,2.51,0
02/21/2019,2.51,0
02/22/2019,2.51,0
02/25/2019,2.51,0
02/26/2019,2.51,0
02/27/2019,2.52,0
02/28/2019,2.50,0
03/01/2019,2.52,0
03/04/2019,2.54,0
03/05/2019,2.53,0
03/06/2019,2.53,0
03/07/2019,2.52,0
03/08/2019,2.52,0
03/11/2019,2.54,0
03/12/2019,2.53,0
03/13/2019,2.53,0
03/14/2019,2.52,0
03/15/2019,2.52,0
03/18/2019,2.51,0
03/19/2019,2.52,0
03/20/2019,2.49,0
03/21/2019,2.50,0
03/22/2019,2.48,0
03/25/2019,2.49,0
03/26/2019,2.49,0
03/27/2019,2.46,0
03/28/2019,2.44,0
03/29/2019,2.44,0
04/01/2019,2.46,0
04/02/2019,2.45,0
04/03/2019,2.45,0
04/04/2019,2.46,0
04/05/2019,2.46,0
04/08/2019,2.48,0
04/09/2019,2.46,0
04/10/2019,2.46,0
04/11/2019,2.46,0
04/12/2019,2.47,0
04/15/2019,2.46,0
04/16/2019,2.47,0
04/17/2019,2.47,0
04/18/2019,2.47,0
04/19/2019,ND,0
04/22/2019,2.47,0
04/23/2019,2.46,0
04/24/2019,2.46,0
04/25/2019,2.46,0
04/26/2019,2.46,0
04/29/2019,2.47,0
04/30/2019,2.46,0
05/01/2019,2.44,0
05/02/2019,2.46,0
05/03/2019,2.46,0
05/06/2019,2.46,0
05/07/2019,2.46,0
05/08/2019,2.45,0
05/09/2019,2.46,0
05/10/2019,2.45,0
05/13/2019,2.42,0
05/14/2019,2.43,0
05/15/2019,2.43,0
05/16/2019,2.43,0
05/17/2019,2.42,0
05/20/2019,2.42,0
05/21/2019,2.42,0
05/22/2019,2.41,0
05/23/2019,2.40,0
05/24/2019,2.39,0
05/27/2019,ND,0
05/28/2019,2.38,0
05/29/2019,2.38,0
05/30/2019,2.40,0
05/31/2019,2.35,0
06/03/2019,2.31,0
06/04/2019,2.29,0
06/05/2019,2.25,0
06/06/2019,2.22,0
06/07/2019,2.15,0
06/10/2019,2.21,0
06/11/2019,2.21,0
06/12/2019,2.20,0
06/13/2019,2.18,0
06/14/2019,2.18,0
06/17/2019,2.20,0
06/18/2019,2.20,0
06/19/2019,2.11,0
06/20/2019,2.04,0
06/21/2019,2.05,0
06/24/2019,2.10,0
06/25/2019,2.10,0
06/26/2019,2.12,0
06/27/2019,2.12,0
06/28/2019,2.09,0
07/01/2019,2.10,0
07/02/2019,2.09,0
07/03/2019,2.08,0
07/04/2019,ND,0
07/05/2019,2.14,0
07/08/2019,2.14,0
07/09/2019,2.15,0
07/10/2019,2.07,0
07/11/2019,2.08,0
07/12/2019,2.07,0
07/15/2019,2.06,0
07/16/2019,2.06,0
07/17/2019,2.04,0
07/18/2019,2.01,0
07/19/2019,2.03,0
07/22/2019,2.08,0
07/23/2019,2.09,0
07/24/2019,2.08,0
07/25/2019,2.08,0
07/26/2019,2.10,0
07/29/2019,2.10,0
07/30/2019,2.07,0
07/31/2019,2.10,0
08/01/2019,2.04,0
08/02/2019,2.02,0
08/05/2019,1.99,0
08/06/2019,2.00,0
08/07/2019,1.95,0
08/08/2019,1.96,0
08/09/2019,1.95,0
08/12/2019,1.94,0
08/13/2019,1.96,0
08/14/2019,1.92,0
08/15/2019,1.86,0
08/16/2019,1.85,0
08/19/2019,1.90,0
08/20/2019,1.89,0
08/21/2019,1.90,0
08/22/2019,1.91,0
08/23/2019,1.87,0
08/26/2019,1.90,0
08/27/2019,1.94,0
08/28/2019,1.89,0
08/29/2019,1.89,0
08/30/2019,1.89,0
09/02/2019,ND,0
09/03/2019,1.88,0
09/04/2019,1.87,0
09/05/2019,1.88,0
09/06/2019,1.88,0
09/09/2019,1.87,0
09/10/2019,1.89,0
09/11/2019,1.88,0
09/12/2019,1.90,0
09/13/2019,1.92,0
09/16/2019,1.93,0
09/17/2019,1.93,0
09/18/2019,1.91,0
09/19/2019,1.92,0
09/20/2019,1.91,0
09/23/2019,1.93,0
09/24/2019,1.91,0
09/25/2019,1.90,0
09/26/2019,1.88,0
09/27/2019,1.85,0
09/30/2019,1.83,0
10/01/2019,1.81,0
10/02/2019,1.75,0
10/03/2019,1.66,0
10/04/2019,1.65,0
10/07/2019,1.73,0
10/08/2019,1.69,0
10/09/2019,1.69,0
10/10/2019,1.68,0
10/11/2019,1.68,0
10/14/2019,ND,0
10/15/2019,1.67,0
10/16/2019,1.64,0
10/17/2019,1.63,0
10/18/2019,1.63,0
10/21/2019,1.65,0
10/22/2019,1.64,0
10/23/2019,1.64,0
10/24/2019,1.65,0
10/25/2019,1.66,0
10/28/2019,1.65,0
10/29/2019,1.64,0
10/30/2019,1.62,0
10/31/2019,1.57,0
11/01/2019,1.55,0
11/04/2019,1.57,0
11/05/2019,1.58,0
11/06/2019,1.57,0
11/07/2019,1.58,0
11/08/2019,1.58,0
11/11/2019,ND,0
